"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-1321.0" 38 25 17 13 7 16 3 9 13 61 62 51 118 0 29 7 21
"Cluster-2491.9066" 4131 3813 1753 528 543 392 256 1105 84 33 47 290 509 572 18 2714 1329
"Cluster-2491.1394" 0 0 0 0 0 0 326 0 30 58 52 101 1 1 151 0 168
"Cluster-2491.20501" 32 51 28 23 13 25 2 2 2 1 10 13 25 2 8 4 6
"Cluster-2491.10072" 225 182 105 628 699 474 139 368 721 184 191 51 60 227 297 940 562
"Cluster-2491.14433" 157 129 109 60 91 48 39 61 27 26 49 58 142 32 26 92 102
"Cluster-2491.13571" 101 111 41 107 105 112 10 148 30 27 21 64 141 39 26 132 113
"Cluster-2491.4548" 3 3 5 6 4 2 278 55 236 0 2 6 7 93 26 287 161
"Cluster-2491.16209" 59 63 56 138 146 139 10 17 12 13 21 25 41 16 11 103 96
"Cluster-2491.5949" 523 582 519 988 915 689 2007 8306 3713 271 240 681 1133 5568 478 16031 7762
"Cluster-2491.22638" 73 52 42 13 14 12 9 39 0 55 175 594 825 1 66 472 246
"Cluster-2491.20303" 36 31 12 19 28 25 3 7 13 4 12 14 28 3 6 25 31
"Cluster-2491.17007" 86 73 50 42 56 36 4 28 8 1 6 15 54 8 1 59 67
"Cluster-2491.4958" 5149 4837 3747 2419 2119 1667 949 1813 1762 1310 1915 2580 3737 933 1154 6500 3733
"Cluster-2491.14974" 57 85 29 88 88 66 54 76 90 27 58 145 136 46 42 245 124
"Cluster-2491.11180" 4 3 7 7 3 5 184 45 124 14 19 7 9 106 66 237 166
"Cluster-2491.22691" 80 59 44 94 82 60 39 20 47 37 30 51 73 37 35 73 103
"Cluster-2491.8465" 479 407 176 692 813 498 235 561 623 443 588 495 655 455 444 1296 802
"Cluster-337.0" 18 12 5 0 0 0 1 0 0 18 28 13 19 0 6 0 12
"Cluster-2491.7708" 656 567 462 297 377 248 36 384 107 64 95 139 364 108 39 464 492
"Cluster-2491.11324" 276 195 103 111 157 96 30 107 44 39 52 76 127 70 27 194 211
"Cluster-2491.11943" 325 417 170 396 417 291 163 331 128 186 281 352 494 233 131 484 625
"Cluster-2491.5572" 32 48 127 54 55 41 1346 2241 2076 753 474 224 430 1553 1615 5890 1727
"Cluster-445.3" 1 0 0 0 0 0 0 0 0 0 0 2 19 0 1 1 0
"Cluster-2491.17944" 132 125 51 124 103 76 65 112 67 79 86 204 257 77 50 177 178
"Cluster-2491.8882" 175 116 49 91 74 42 5 80 6 13 7 55 141 39 5 81 117
"Cluster-2491.5264" 327 329 227 173 170 130 73 158 59 56 103 119 182 84 35 317 275
"Cluster-2491.19169" 9 9 3 54 25 38 51 79 59 52 52 42 45 39 64 65 47
"Cluster-2491.10115" 223 217 117 313 324 221 78 136 130 191 209 316 419 80 119 217 275
"Cluster-2491.10485" 327 329 180 274 263 157 102 231 210 139 256 713 740 173 174 830 372
"Cluster-377.0" 10 4 1 0 0 0 0 9 0 13 14 49 79 0 8 0 21
"Cluster-2491.10001" 1061 711 649 684 834 576 332 384 639 446 679 470 678 284 456 1443 961
"Cluster-2491.17698" 1697 1596 1176 140 109 129 48 181 49 96 124 169 231 110 57 433 304
"Cluster-2491.2110" 234 205 115 99 50 56 9 54 10 25 7 31 65 17 5 62 57
"Cluster-2491.1012" 2 6 0 8 16 15 0 3 0 0 0 3 0 0 0 5 3
"Cluster-2491.8223" 474 425 211 782 777 582 349 631 474 89 112 326 642 533 89 1336 1019
"Cluster-2491.9415" 128 81 55 35 47 34 32 87 90 24 56 14 64 50 53 229 130
"Cluster-2491.6787" 337 319 143 292 366 245 154 689 546 461 543 285 329 607 507 1389 523
"Cluster-2491.13221" 17 21 11 1 3 15 13 8 4 1 0 11 9 13 0 52 20
"Cluster-2491.16087" 7 3 1 4 3 1 90 41 90 0 0 0 1 61 25 216 74
"Cluster-2491.1090" 61 72 34 91 59 40 8 24 29 10 21 11 18 8 14 16 37
"Cluster-2491.20228" 18 8 6 6 9 4 2 0 4 12 5 9 23 1 5 11 11
"Cluster-2491.1269" 0 0 0 0 0 0 333 0 18 73 32 316 0 0 132 0 304
"Cluster-2491.17304" 313 300 119 239 284 181 52 93 65 41 53 177 270 74 33 421 325
"Cluster-1576.0" 11 7 9 2 5 7 1 5 1 1 2 9 6 0 3 4 1
"Cluster-2491.12174" 322 320 123 392 370 280 35 83 114 114 126 72 159 61 104 190 137
"Cluster-2491.7168" 43 44 17 70 50 48 45 56 55 90 160 122 223 79 63 144 136
"Cluster-2491.9451" 0 0 1 0 0 0 366 77 315 0 1 0 0 117 59 345 171
"Cluster-2491.11065" 91 79 80 14 21 22 5 22 15 5 6 5 17 18 8 50 34
"Cluster-2491.4855" 2093 1634 1041 2169 1935 1501 468 2341 645 299 315 1219 2367 1538 361 4230 2613
"Cluster-2491.20865" 43 38 23 3 0 4 4 11 2 20 53 89 169 4 12 72 52
"Cluster-2491.4046" 760 615 552 142 148 85 80 181 85 73 113 131 210 110 73 613 337
"Cluster-2491.14609" 107 76 96 19 25 21 20 38 35 9 18 18 31 20 12 174 45
"Cluster-2491.12543" 1420 1234 624 975 1207 816 126 368 306 237 359 684 945 170 148 1104 960
"Cluster-2491.20006" 37 22 29 12 16 13 16 12 21 20 54 81 88 8 27 49 39
"Cluster-2491.4602" 1238 922 814 681 831 492 371 716 780 462 559 629 840 446 451 2231 1077
"Cluster-2491.19831" 154 142 122 71 80 59 31 63 44 146 174 171 337 23 72 166 141
"Cluster-2491.8414" 333 299 175 148 196 170 84 514 346 166 209 123 198 263 246 568 271
"Cluster-2491.16530" 187 166 103 72 62 47 12 34 26 21 45 66 97 20 12 60 75
"Cluster-2491.9299" 1 1 1 2 0 1 113 96 234 2 1 0 2 67 42 226 83
"Cluster-2491.18499" 724 627 325 291 352 256 60 217 98 26 49 168 323 142 28 445 305
"Cluster-2491.4566" 121 197 58 196 237 122 68 79 99 399 563 551 611 64 224 298 272
"Cluster-2491.8332" 298 241 188 118 143 69 67 124 43 15 12 90 297 126 15 522 288
"Cluster-2491.12464" 37 51 24 4 10 3 5 3 5 28 26 41 52 6 16 35 18
"Cluster-2491.10085" 408 276 330 191 135 127 161 267 235 422 532 655 814 118 320 533 456
"Cluster-5170.1" 18 1 15 10 7 4 3 12 2 5 42 109 143 3 23 110 69
"Cluster-2491.10436" 1 0 0 0 2 0 110 10 77 0 0 0 0 15 20 160 76
"Cluster-2491.16629" 249 249 116 292 330 228 87 248 62 76 115 401 546 125 76 304 507
"Cluster-2491.10534" 429 545 239 530 540 390 172 880 481 204 323 416 524 543 190 1166 865
"Cluster-2491.17942" 60 39 43 98 148 108 38 107 32 18 36 116 145 60 25 264 182
"Cluster-2491.9780" 138 150 53 218 291 187 80 125 174 160 161 181 229 112 126 404 212
"Cluster-2491.18959" 221 205 128 67 64 34 14 42 19 161 199 122 262 13 91 59 86
"Cluster-2491.11841" 1250 1588 978 1196 834 673 387 792 480 464 964 1165 1585 470 472 966 1657
"Cluster-2491.23353" 19 15 10 4 4 0 0 2 1 7 3 5 3 1 2 0 2
"Cluster-2491.17315" 111 85 14 83 74 71 35 36 18 61 70 91 170 41 29 126 90
"Cluster-2491.9392" 205 186 88 115 130 96 62 82 53 147 106 155 287 74 68 244 188
"Cluster-2491.4791" 42 57 12 57 58 57 75 232 164 29 51 60 65 115 50 625 343
"Cluster-2491.20147" 297 252 128 262 278 198 100 260 196 228 439 469 546 175 206 662 465
"Cluster-4299.0" 4 3 2 14 4 9 2 2 3 1 2 14 10 1 2 8 4
"Cluster-2491.12035" 1097 718 369 1371 1666 970 601 1884 1829 437 531 686 894 1230 600 4528 1849
"Cluster-2491.17927" 52 47 20 29 46 35 3 24 6 0 2 2 7 3 4 48 22
"Cluster-2491.12577" 188 201 85 190 196 113 50 115 87 96 136 164 264 96 52 174 175
"Cluster-2491.3318" 59 37 28 21 18 12 20 19 16 52 171 280 314 4 47 137 116
"Cluster-2491.12592" 28 17 21 354 537 428 143 432 509 258 177 145 234 231 243 751 606
"Cluster-2491.2098" 5 2 1 29 32 21 24 38 37 21 24 21 27 13 14 76 73
"Cluster-2491.19646" 26 34 24 70 69 50 14 63 98 8 14 12 8 28 16 180 105
"Cluster-2491.15709" 402 447 233 123 108 84 25 134 140 67 126 74 107 64 86 426 138
"Cluster-2491.5030" 180 140 79 217 188 128 55 118 108 78 172 249 326 81 97 322 243
"Cluster-2491.13477" 5 0 0 0 0 0 446 148 219 0 0 1 2 66 61 605 97
"Cluster-2491.4450" 895 886 501 424 390 257 133 260 85 287 537 805 995 168 289 933 723
"Cluster-2491.12244" 171 137 106 158 211 113 88 240 284 309 353 392 410 163 269 746 284
"Cluster-2491.8253" 112 74 62 308 383 257 156 337 540 76 64 28 22 212 240 1014 459
"Cluster-2491.8784" 57 76 49 84 50 37 12 44 18 14 17 27 87 13 5 61 60
"Cluster-2491.12835" 275 206 123 84 61 56 10 56 8 31 17 55 183 24 2 60 88
"Cluster-5491.4" 26 19 17 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Cluster-2491.22236" 0 0 0 0 0 0 134 728 3 0 20 7 84 87 0 0 0
"Cluster-2491.11321" 4 2 2 7 3 1 58 2 21 3 0 1 3 10 2 32 25
"Cluster-2491.3384" 80 77 46 278 225 203 50 52 89 37 67 119 167 21 35 78 193
"Cluster-2491.16047" 830 936 447 343 398 274 111 397 121 82 92 166 362 264 69 599 558
"Cluster-2491.9733" 150 92 62 401 399 235 17 135 74 47 23 65 168 92 17 111 91
"Cluster-2491.18301" 81 102 74 39 41 26 12 22 23 8 7 17 32 17 4 36 35
"Cluster-2491.5297" 167 191 74 159 165 154 50 119 52 104 105 206 185 125 65 176 216
"Cluster-2491.8510" 1983 1885 1446 2217 2392 1493 780 1995 2321 1219 1495 1615 2123 1317 1424 4719 2697
"Cluster-2491.10327" 22 29 6 32 17 31 6 28 11 14 21 18 62 19 8 54 64
"Cluster-2491.7787" 53 50 62 242 1239 1047 2655 5632 6336 320 457 716 551 3071 1402 15434 8841
"Cluster-2491.18409" 226 207 110 111 138 76 38 77 8 5 9 73 139 73 1 80 106
"Cluster-2491.16360" 277 227 87 569 495 413 38 148 60 7 10 36 131 55 11 253 220
"Cluster-2491.15071" 278 250 124 413 537 339 121 361 249 187 224 252 349 343 173 524 481
"Cluster-93.2" 16 21 23 4 2 2 6 3 1 1 12 0 19 0 2 6 4
"Cluster-2976.0" 2 9 4 3 4 5 1 3 0 0 0 22 23 1 2 19 4
"Cluster-2491.15231" 16 26 85 750 28 238 164 41 286 159 3 5 48 39 59 264 165
"Cluster-2491.18992" 340 292 270 375 575 298 244 223 323 390 557 956 1092 153 332 1216 793
"Cluster-2491.9857" 2887 2429 1736 965 1072 681 290 1441 548 109 177 531 1271 875 161 3514 1791
"Cluster-2491.22293" 26 24 18 3 5 3 3 2 2 3 9 26 18 0 0 9 6
"Cluster-2491.7055" 1014 911 644 1092 1141 880 383 1754 1103 348 662 643 1014 1016 324 1281 1419
"Cluster-2491.19014" 333 253 166 363 415 257 46 410 53 41 56 182 358 136 32 148 557
"Cluster-2491.7761" 597 514 324 480 586 364 248 662 569 573 691 617 818 296 515 914 654
"Cluster-2491.14541" 3 10 0 7 8 5 4 4 6 2 1 4 4 0 0 16 10
"Cluster-2491.1825" 33 49 32 36 33 23 12 31 13 8 13 12 35 15 8 24 47
"Cluster-2491.2822" 30 26 5 4 4 1 0 9 1 1 0 1 7 5 0 23 8
"Cluster-2491.10449" 1117 987 620 3269 3913 2658 312 1552 1103 232 300 792 1431 614 209 4069 3141
"Cluster-2491.11881" 28 30 26 41 36 23 28 157 55 24 30 18 49 47 25 528 179
"Cluster-2491.11980" 204 222 113 186 144 166 65 159 66 42 95 69 174 124 69 296 308
"Cluster-2491.6955" 453 499 191 606 785 476 716 4502 2757 876 1119 578 916 2629 1362 8148 2386
"Cluster-2491.9056" 473 393 253 149 173 133 260 559 540 272 341 290 302 334 365 1697 707
"Cluster-2491.24338" 34 37 22 7 16 13 21 16 17 11 21 22 41 15 22 93 34
"Cluster-2491.8649" 560 468 325 215 251 168 87 224 126 267 475 535 589 135 191 588 452
"Cluster-2491.9785" 1426 1274 791 385 477 283 131 614 415 349 559 675 901 254 386 2022 897
"Cluster-2491.12437" 280 280 154 150 153 123 59 195 72 40 64 89 221 86 28 408 317
"Cluster-2491.22531" 6 31 7 1 0 1 942 2388 6 4 114 80 870 152 22 12 5
"Cluster-2491.10946" 0 0 0 0 0 2 256 112 285 0 0 2 1 164 40 422 142
"Cluster-2491.6656" 275 223 162 144 181 126 107 359 277 249 364 339 306 218 263 935 400
"Cluster-4463.0" 7 6 18 4 0 2 1 1 3 2 1 23 3 7 2 1 2
"Cluster-2491.11762" 249 181 137 303 245 205 69 201 160 93 152 311 416 121 100 387 461
"Cluster-3123.0" 0 0 0 16 56 196 131 161 0 0 12 4 94 15 1 0 0
"Cluster-2491.15260" 602 451 294 379 255 194 150 465 208 65 86 140 202 217 66 540 431
"Cluster-2491.7825" 2224 1641 1225 1487 1881 1222 704 2722 3146 1589 1941 1013 1277 1962 1808 8190 3736
"Cluster-2491.17211" 44 62 21 128 96 64 53 59 50 9 10 35 41 34 12 84 133
"Cluster-2491.19388" 20 26 9 5 9 3 61 22 32 11 12 33 30 30 13 221 123
"Cluster-2491.5840" 3592 3930 2466 1996 1823 1772 1935 5486 2950 2047 2318 1096 1244 4876 2682 6592 3207
"Cluster-2491.9090" 29 38 18 63 75 76 36 96 46 14 22 96 115 51 27 353 182
"Cluster-2491.8421" 5770 4319 4176 5480 5724 3890 652 4313 1689 2420 3229 3199 4552 1213 2256 13172 5403
"Cluster-2491.10855" 225 190 173 73 90 44 12 84 76 19 29 33 58 47 22 276 123
"Cluster-2491.1465" 4 3 5 4 1 2 0 0 0 0 1 1 11 0 0 3 2
"Cluster-2491.20690" 606 584 350 511 682 434 242 785 749 741 840 729 974 486 515 1510 942
"Cluster-2491.15539" 265 191 135 314 378 249 76 301 171 161 279 444 428 168 169 1207 714
"Cluster-2491.11449" 7 86 30 309 259 148 366 933 608 278 557 306 441 782 504 4312 1026
"Cluster-2491.15543" 127 93 43 141 115 83 32 66 27 7 28 36 85 41 18 120 171
"Cluster-2491.1172" 354 144 174 2 11 9 64 81 4 809 1454 1979 2447 3 587 1660 861
"Cluster-2491.21243" 0 0 0 0 0 0 290 0 1 61 61 20 0 0 104 0 27
"Cluster-2491.11339" 896 782 437 740 630 549 279 1482 392 290 399 500 786 704 225 1102 1184
"Cluster-2491.13890" 104 179 78 454 489 407 53 151 238 47 61 55 100 79 63 197 386
"Cluster-2491.17254" 85 73 82 66 40 41 43 51 39 204 299 434 393 40 116 381 203
"Cluster-2491.12003" 10 5 5 4 7 9 4 1 2 0 3 5 7 3 2 4 3
"Cluster-2491.2492" 113 99 71 65 60 46 9 12 0 7 7 9 28 13 4 62 34
"Cluster-2491.8135" 7 6 5 1 4 3 17 8 10 0 3 4 12 17 0 41 18
"Cluster-2491.4318" 6 4 4 2 5 2 185 94 232 0 3 1 6 145 73 505 134
"Cluster-2491.16406" 380 293 248 199 164 145 57 262 42 117 119 285 409 157 87 339 395
"Cluster-2491.11993" 154 138 148 115 288 659 32 110 35 13 16 14 53 51 0 114 88
"Cluster-2491.17229" 406 267 208 204 232 174 67 244 223 266 287 239 331 137 203 714 351
"Cluster-2491.16090" 7 18 8 3 7 1 2 3 1 2 5 9 2 14 2 4 7
"Cluster-2491.9039" 393 326 115 422 447 288 111 190 101 68 98 200 369 79 60 244 420
"Cluster-2491.18082" 117 88 63 219 267 190 16 56 74 26 19 19 56 23 13 135 105
"Cluster-2491.12743" 351 134 278 58 53 65 44 125 47 167 468 1624 2191 20 135 1915 830
"Cluster-2491.13999" 211 204 104 183 184 130 147 1035 507 197 177 70 117 512 231 726 513
"Cluster-2491.1308" 5157 3847 2423 3 7 2 16 8 18 2901 6489 724 1367 19 1352 44 29
"Cluster-2491.18112" 446 363 223 237 237 208 111 311 207 281 375 459 548 193 203 552 471
"Cluster-2491.15480" 21 5 1 6 7 4 6 37 25 56 36 19 40 16 43 40 75
"Cluster-2491.22361" 29 17 11 9 21 16 16 21 14 18 98 128 251 6 17 161 92
"Cluster-2491.4910" 1998 1562 886 881 960 763 193 821 235 523 970 1879 2624 428 438 2396 1651
"Cluster-2491.2537" 69 46 34 39 25 19 6 20 3 5 4 9 35 12 6 32 41
"Cluster-2491.7076" 8 5 9 6 260 191 3115 8319 16537 429 548 327 910 3420 2398 15461 8631
"Cluster-2491.16803" 45 24 17 19 29 14 18 22 21 24 51 36 38 13 27 138 75
"Cluster-2491.19359" 24 30 17 4 1 1 5 20 5 21 58 79 104 5 19 54 49
"Cluster-2491.1378" 0 0 0 0 0 0 212 0 5 52 22 22 1 0 153 0 46
"Cluster-2491.16780" 405 436 201 657 511 421 142 362 169 168 155 285 465 239 138 385 472
"Cluster-2491.5517" 0 2 39 63 46 49 748 871 856 255 422 253 249 375 567 2517 1302
"Cluster-2491.10812" 178 194 42 221 210 150 8 21 37 11 25 20 45 25 8 95 65
"Cluster-2491.12204" 8 6 2 27 34 22 21 94 34 5 11 9 41 42 2 176 157
"Cluster-2491.7238" 416 356 234 222 290 204 101 315 246 91 151 341 463 243 119 603 482
"Cluster-2491.14034" 515 436 218 206 273 193 53 163 126 181 218 290 441 105 97 526 330
"Cluster-2491.1553" 22 27 3 71 81 50 27 40 33 25 33 47 53 25 11 71 57
"Cluster-2491.9932" 2624 2561 1414 855 1223 879 881 2386 2820 1177 1464 592 839 1332 1312 5585 3033
"Cluster-2491.22511" 56 66 42 45 35 24 5 9 7 3 4 11 11 6 2 6 22
"Cluster-2491.6670" 1275 1216 756 547 683 525 367 1365 972 359 495 589 839 1027 334 2388 1251
"Cluster-2491.4658" 509 457 200 387 413 272 54 225 167 287 405 528 545 91 166 865 457
"Cluster-2491.13913" 67 83 42 161 174 110 16 48 18 7 15 24 15 23 16 83 80
"Cluster-2491.16200" 76 68 32 191 164 96 61 65 74 78 153 262 301 53 75 141 144
"Cluster-2491.6724" 6 6 6 5 3 3 4402 2821 5345 6 13 50 34 3935 659 11919 4263
"Cluster-2491.5931" 2022 1572 926 744 852 569 338 1794 1221 461 613 656 1007 1081 499 2981 1379
"Cluster-2491.5049" 519 602 361 149 195 124 96 242 340 251 245 62 74 124 223 413 219
"Cluster-2491.2597" 498 398 267 202 208 135 57 80 60 632 912 780 833 76 378 426 350
"Cluster-2491.12171" 9 16 12 19 23 15 11 54 28 26 15 15 13 18 22 79 54
"Cluster-2491.1276" 65 63 50 0 2 0 15 9 2 25 80 661 713 1 35 444 217
"Cluster-2491.8385" 58 77 39 141 83 68 91 298 238 47 67 29 55 138 114 255 250
"Cluster-2491.11132" 0 2 0 62 75 62 38 286 205 39 61 38 63 178 91 335 78
"Cluster-2491.5932" 1634 1365 1378 1256 869 824 248 1624 449 192 115 275 708 1055 269 2517 1017
"Cluster-2491.8667" 307 211 202 182 278 185 148 358 399 244 386 319 317 194 339 881 475
"Cluster-2491.14741" 448 373 222 269 257 180 103 218 131 170 262 382 439 179 73 278 458
"Cluster-2491.16888" 93 72 67 44 18 33 38 147 134 68 162 23 33 55 63 299 163
"Cluster-2491.4814" 377 479 326 563 402 394 191 721 501 194 361 296 424 308 224 1331 717
"Cluster-2491.16045" 8 13 2 23 23 12 0 12 4 28 26 50 59 11 8 4 15
"Cluster-2491.20047" 99 81 34 85 96 87 37 91 26 96 100 134 192 60 30 105 160
"Cluster-2491.3308" 55 17 13 36 75 69 9 44 11 3 1 7 20 23 2 63 54
"Cluster-2491.3793" 715 727 379 419 477 290 149 298 269 727 1014 1251 1069 192 421 1078 667
"Cluster-2491.20872" 11 15 8 21 4 14 1 13 1 1 0 1 14 9 0 16 10
"Cluster-2491.21166" 15 13 8 1 3 2 3 1 1 18 24 23 31 1 3 23 22
"Cluster-2491.16166" 135 98 53 120 162 109 27 87 82 43 38 36 66 60 36 235 149
"Cluster-2491.12997" 21 0 1 0 5 0 116 45 104 5 7 23 36 96 11 324 206
"Cluster-4209.0" 22 19 6 29 14 6 6 5 9 0 9 6 15 3 2 12 16
"Cluster-2491.20229" 77 86 56 1 3 6 6 7 8 6 3 7 4 2 3 33 14
"Cluster-2491.2676" 30 28 8 108 71 71 29 29 15 9 9 26 31 14 7 15 50
"Cluster-2491.7052" 448 365 273 616 750 497 394 331 629 404 499 502 611 302 421 1429 787
"Cluster-2491.14258" 164 170 61 146 115 100 51 195 98 462 267 542 1050 114 117 373 333
"Cluster-2491.18216" 2 2 0 7 8 6 75 30 68 0 3 4 6 45 13 94 46
"Cluster-2491.902" 59 69 22 2 1 2 1 2 0 2 0 7 8 1 0 3 0
"Cluster-2491.2958" 32 35 16 63 56 45 20 73 41 20 35 40 64 43 16 82 70
"Cluster-2491.13045" 5 5 0 2 0 0 56 36 101 1 0 0 0 51 4 238 98
"Cluster-2491.3342" 619 554 349 251 300 251 109 333 162 220 353 685 724 184 152 709 657
"Cluster-2491.4472" 568 468 237 339 356 263 130 560 384 211 239 234 323 361 225 1385 626
"Cluster-2491.4305" 130 143 59 170 265 205 197 383 794 212 225 111 152 429 298 1246 458
"Cluster-2491.14381" 59 68 64 22 20 31 8 3 5 13 24 53 54 9 5 49 38
"Cluster-2491.4041" 60 70 14 60 51 30 17 19 9 5 8 52 121 32 9 73 39
"Cluster-2491.1132" 0 0 0 1 0 1 25 1 16 1 0 0 1 4 1 27 9
"Cluster-2491.17452" 124 72 42 63 52 54 9 23 29 16 10 32 53 13 15 56 44
"Cluster-2491.9359" 782 632 408 380 484 275 231 767 649 327 471 604 661 489 366 2021 744
"Cluster-2491.6385" 282 327 190 634 520 417 256 446 356 259 363 417 658 169 203 428 593
"Cluster-2491.12424" 830 741 357 520 576 388 97 151 97 203 279 424 495 76 123 700 473
"Cluster-2491.18474" 4 7 3 0 0 0 454 2153 20 14 79 22 341 200 25 2 0
"Cluster-2491.23626" 32 20 15 1 7 1 2 3 5 0 1 4 9 1 2 26 15
"Cluster-2491.13828" 1372 1132 1131 347 429 260 172 443 289 153 232 198 406 360 157 860 508
"Cluster-2491.7614" 1499 1219 692 822 931 580 420 904 1069 892 1275 1486 1997 604 756 2087 1248
"Cluster-2491.22834" 63588 65511 34382 20 4 0 20 3 4 8497 6103 14 27 3 1148 11 8
"Cluster-2491.20607" 34 29 10 17 14 20 7 13 17 9 5 16 22 10 11 56 30
"Cluster-2491.13219" 80 79 18 61 64 51 24 59 31 9 12 52 78 57 5 102 94
"Cluster-2491.4277" 727 646 463 351 493 254 84 188 150 242 361 474 526 80 180 763 448
"Cluster-2491.11050" 182 231 137 95 81 86 58 152 95 51 63 90 167 58 80 159 175
"Cluster-2491.14898" 380 386 201 348 329 311 219 866 455 306 375 411 499 409 247 984 863
"Cluster-2491.22271" 7 6 9 14 14 6 10 21 8 35 101 97 119 1 22 28 57
"Cluster-2491.8813" 1567 1095 841 775 1053 694 365 1248 1150 1366 1588 993 1179 601 1168 3769 1693
"Cluster-2491.6444" 163 170 118 484 321 348 214 480 224 143 226 242 306 224 93 296 542
"Cluster-2491.19245" 2 18 7 1 10 34 1115 4716 18 21 348 74 906 465 69 4 3
"Cluster-2491.4783" 61 37 53 159 72 99 27 40 32 18 34 31 46 29 26 113 154
"Cluster-2491.23053" 28 34 12 4 3 3 3 4 2 3 5 4 8 2 3 14 16
"Cluster-2491.8143" 34 18 312 403 236 241 1906 2210 2412 468 352 377 914 1677 1076 21505 8379
"Cluster-2491.15131" 45 47 12 35 27 23 8 21 8 2 6 16 39 16 7 61 31
"Cluster-2491.12340" 1722 1564 1108 423 461 350 218 1737 754 186 238 205 436 808 257 2699 1131
"Cluster-2491.14631" 347 321 157 412 455 307 131 342 284 232 258 233 309 214 178 953 467
"Cluster-2491.14822" 1 3 2 0 1 0 455 5497 2 0 177 30 108 576 32 8 6
"Cluster-2491.6526" 4304 3742 2304 3841 4687 2853 1307 2497 3947 1956 2523 2178 3046 1737 2035 6874 4586
"Cluster-2491.18590" 199 144 129 61 100 73 15 48 35 60 98 132 159 30 45 151 89
"Cluster-2491.7250" 1028 916 588 1241 1869 1228 656 1502 2257 879 1058 1004 1129 779 1042 4205 2126
"Cluster-2840.0" 83 27 50 14 14 4 5 2 8 60 64 115 155 0 22 31 23
"Cluster-2491.15063" 142 123 54 83 75 82 25 50 33 63 87 138 169 30 37 84 76
"Cluster-2491.14009" 30 76 81 706 21 118 227 37 186 148 1 14 41 25 18 144 409
"Cluster-2491.15395" 68 90 24 94 117 72 52 59 86 53 60 68 84 65 41 181 121
"Cluster-2491.4031" 245 143 178 176 168 140 125 230 144 227 460 789 1007 200 153 909 484
"Cluster-2491.2231" 28 28 17 4 8 7 10 3 4 4 1 13 19 11 1 29 25
"Cluster-2491.4702" 2678 2144 1581 1221 1538 1098 283 952 854 724 938 826 1113 435 559 2882 1486
"Cluster-2491.2799" 446 310 330 275 341 209 90 204 100 938 1566 2412 2423 45 685 1859 833
"Cluster-2491.5735" 4148 3671 2371 1617 1458 1248 368 2112 592 692 1028 1333 1960 1021 562 4369 1887
"Cluster-2491.12861" 54 44 12 86 83 76 26 34 19 24 25 59 90 32 13 42 59
"Cluster-2491.7164" 5097 4520 3543 2917 3779 2502 1786 2359 4359 2576 3604 2218 3241 1562 2373 11359 7197
"Cluster-2491.4549" 1790 1289 1139 674 934 610 198 740 471 1440 1761 2575 3130 333 1136 2818 1562
"Cluster-2491.12766" 116 80 54 69 64 35 12 72 64 17 19 24 54 46 20 183 83
"Cluster-2491.9215" 734 693 342 731 649 511 113 389 62 31 37 209 539 224 12 481 603
"Cluster-2491.17794" 30 19 15 6 13 4 8 15 14 8 14 12 18 14 4 40 16
"Cluster-2491.19104" 6 1 0 4 5 2 13 3 11 1 1 4 2 9 2 26 7
"Cluster-2491.3008" 121 110 70 22 17 16 6 20 8 3 6 7 26 12 2 43 25
"Cluster-2491.872" 52 62 19 21 30 19 4 2 4 5 2 10 21 7 1 21 27
"Cluster-2491.13122" 14 16 10 0 1 0 224 66 251 0 0 4 7 208 16 302 204
"Cluster-2491.9898" 970 745 503 525 704 425 227 681 596 99 174 501 714 482 180 1723 849
"Cluster-2491.7727" 68 57 51 148 188 164 153 916 686 518 628 128 215 506 502 945 714
"Cluster-2491.7942" 902 626 531 507 680 483 384 455 760 509 791 486 590 286 581 1788 1112
"Cluster-2491.3493" 349 237 139 174 202 149 54 95 47 62 120 230 309 88 41 298 248
"Cluster-2491.5610" 2021 1876 1125 1035 1104 732 274 1143 684 480 873 1275 1637 599 633 2403 1354
"Cluster-2491.12883" 175 138 96 696 811 582 245 337 613 165 194 207 256 210 258 858 627
"Cluster-2491.12266" 285 240 152 348 315 218 220 669 444 150 220 93 166 411 245 1377 645
"Cluster-2491.7323" 1865 1810 1170 1446 1106 896 400 624 405 166 159 248 656 637 159 2364 1481
"Cluster-2491.11771" 21 16 16 4 6 1 4 3 2 0 2 2 8 2 1 9 9
"Cluster-2491.15460" 27 58 26 12 12 8 10 5 4 1 3 0 0 0 0 7 14
"Cluster-2491.21904" 23 21 10 0 1 0 3 8 6 31 42 34 86 3 17 19 16
"Cluster-2491.5795" 1122 952 525 2432 2466 1542 932 5468 1737 175 209 381 887 4721 189 10033 4935
"Cluster-2491.15811" 705 720 281 424 472 371 112 264 153 238 352 369 550 170 204 924 504
